Monitored/close contacts,Discharged after being monitored,Followed up,Daty,Faritra,Tilytot,Tilyvao,Tilyvaotomb,Itot,Ivao,Rtot,Rvao,Matot,Matvao,Tsyvoatomb,Tsyvoa,Tahaketv,Tahaketvtstomb
,,,2020-04-14,Nairobi,,,,,6,,,,,,,,
2331,1729,602,2020-04-14,Kenya,,694,694,216,8,41,1,,,686,686,0.9885,0.9885
,,,2020-04-15,Mombasa,,,,,4,,,,,,,,
,,,2020-04-15,Nairobi,,,,,5,,,,,,,,
,,,2020-04-15,Kenya,,800,800,225,9,53,12,10,1,791,791,0.9888,0.9888
,,,2020-04-16,Mombasa,,,,,,,,,,,,,
,,,2020-04-16,Nairobi,,,,,,,,,,,,,
,,,2020-04-16,Kenya,,,468,234,9,,,11,1,459,,0.9808,
,,,2020-04-17,Mombasa,,,,,,,,,,,,,
,,,2020-04-17,Nairobi,,,,,,,,,,,,,
,,,2020-04-17,Kenya,,,468,246,12,,,,,456,,0.9744,
,,,2020-04-18,South C,,,,4,,,,,,,,,
,,,2020-04-18,Utawala,,,,4,,,,,,,,,
,,,2020-04-18,Karen,,,,4,,,,,,,,,
,,,2020-04-18,Pipeline,,,,5,,,,,,,,,
,,,2020-04-18,Kilimani,,,,6,,,,,,,,,
,,,2020-04-18,Kibra,,,,2,,,,,,,,,
,,,2020-04-18,Buruburu,,,,2,,,,,,,,,
,,,2020-04-18,Parklands,,,,2,,,,,,,,,
,,,2020-04-18,Kitisuru,,,,2,,,,,,,,,
,,,2020-04-18,Tassia,,,,2,,,,,,,,,
,,,2020-04-18,Kawangware,,,,3,,,,,,,,,
,,,2020-04-18,Kasarani,,,,1,,,,,,,,,
,,,2020-04-18,Madaraka,,,,1,,,,,,,,,
,,,2020-04-18,Ngara,,,,1,,,,,,,,,
,,,2020-04-18,Runda,,,,1,,,,,,,,,
,,,2020-04-18,Hurlingham,,,,1,,,,,,,,,
,,,2020-04-18,Lavington,,,,1,,,,,,,,,
,,,2020-04-18,Eastleigh,,,,1,,,,,,,,,
,,,2020-04-18,Donholm,,,,1,,,,,,,,,
,,,2020-04-18,Nairobi,,,,,,,,,,,,,
,,,2020-04-18,Kenya,,1115,836,262,16,,,12,2,820,1099,0.9809,0.9809
,,,2020-04-19,Kajiado,,,,,1,,,,,,,,
,,,2020-04-19,Mombasa,,,,,4,,,,,,,,
,,,2020-04-19,Nairobi,,,,,3,,,,,,,,
,,,2020-04-19,Kenya,,,486,270,8,,,,,478,,0.9835,
,,,2020-04-20,Machakos,,,,,7,,,,,,,,
,,,2020-04-20,Kiambu,,,,,5,,,,,,,,
,,,2020-04-20,Mombasa,,,,,7,,,,,,,,
,,,2020-04-20,Nairobi,,,,,4,,,,,,,,
,,,2020-04-20,Kenya,13877,,486,281,11,69,2,,,475,,0.9774,
,,,2020-04-21,Nakuru,,,,,,,2,,,,,,
,,,2020-04-21,Mandera,,,,,2,,,,,,,,
,,,2020-04-21,Mombasa,,,,,7,,,,,,,,
,,,2020-04-21,Nairobi,,,,,6,,,,,,,,
,,,2020-04-21,Kenya,,,533,296,15,74,5,,,518,,0.9719,
,,,2020-04-22,Nairobi,,,,,4,,,,,,,,
,,,2020-04-22,Kenya,,,533,303,7,83,9,14,,526,,0.9869,
,,,2020-04-23,Mombasa,,,,,5,,,,,,,,
,,,2020-04-23,Nairobi,,,,,12,,,,,,,,
,,,2020-04-23,Kenya Ports,,,,24,,,,,,,,,
,,,2020-04-23,Kenya,,,533,320,17,,,,,516,,0.9681,
,,,2020-04-24,Mombasa,,,,,5,,,,,,,,
,,,2020-04-24,Pipeline,,,,,1,,,,,,,,
,,,2020-04-24,Parklands,,,,,2,,,,,,,,
,,,2020-04-24,Eastleigh,,,,,1,,,,,,,,
,,,2020-04-24,City Park,,,,,2,,,,,,,,
,,,2020-04-24,Dandora,,,,,5,,,,,,,,
,,,2020-04-24,Nairobi,,,,,11,,,,,,,,
,,,2020-04-24,Kenya,16000,,533,336,16,,,,,517,,0.97,
,,,2020-04-25,Mombasa,,,,,,,,,,,,,
,,,2020-04-25,Nairobi,,,,,,,,,,,,,
,,,2020-04-25,Kenya,17000,,1000,343,7,,,,,993,,0.993,
,,,2020-04-26,Mombasa,,,,,4,,,,,,,,
,,,2020-04-26,Umoja,,,,,1,,,,,,,,
,,,2020-04-26,South B,,,,,1,,,,,,,,
,,,2020-04-26,Casarani,,,,,1,,,,,,,,
,,,2020-04-26,Eastleigh,,,,,1,,,,,,,,
,,,2020-04-26,Dandora,,,,,1,,,,,,,,
,,,2020-04-26,Karen,,,,,1,,,,,,,,
,,,2020-04-26,Kibra,,,,,2,,,,,,,,
,,,2020-04-26,Nairobi,,,,,8,,,,,,,,
,,,2020-04-26,Kenya,,,568,355,12,106,8,,,556,,0.9789,
,,,2020-04-27,Mombasa,,,,,4,,,,,,,,
,,,2020-04-27,Nairobi,,,,,4,,,,,,,,
,,,2020-04-27,Kenya,,,568,363,8,114,8,,,560,,0.9859,
,,,2020-04-28,Mombasa,,,,,4,,,,,,,,
,,,2020-04-28,Nairobi,,,,,7,,,,,,,,
,,,2020-04-28,Kenya,,,568,374,11,,,,,557,,0.9806,
,,,2020-04-29,Nairobi,,,,,1,,,,,,,,
,,,2020-04-29,Kenya,,,568,384,10,,5,15,1,558,,0.9824,
,,,2020-04-30,Kitui,,,,,1,,,,,,,,
