Loharano,Faritra,Daty,MRC Rt,Tily Genexpert,Tily ara-potoana,Tilytot tvm,Tilyvoatomb,Tily,Voa,Voatomb,Voavao tvm,Tsyvoa,Tsyvoatomb,Tilym,Voareh ilain,Voareh tomb,Voareh tvm,Sitranreh ilain,Sitranvao tvm,Sitranreh tvm,,Fahasarotana,Nodimandry vao,Nodimandry reh,Tahatsv,Tahasitr,MRC Rt,
FB-TVM,Antananarivo,2020-5-15,,,,,171,171,,0,0,,171,,,,,,,,,,,,1,,,
FB-TVM,Toamasina,2020-5-15,,,,,20,20,,8,8,,12,,,,,,,,,,,,0.6,,,
FB-TVM,Madagasikara,2020-5-16,,,,,261,,,45,45,,216,,,283,283,,2,114,,,,,0.8276,0.4028,,
FB-TVM,Antananarivo,2020-5-16,,,,,,,,26,26,,-26,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-16,,,,,,,,19,19,,-19,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-17,,,,,103,103,,21,21,,82,,,304,304,,0,114,,,1,1,0.7961,0.375,,
FB-TVM,Antananarivo,2020-5-17,,,,,61,61,,15,15,,46,,,,,,,,,,,,0.7541,,,
FB-TVM,Toamasina,2020-5-17,,,,,42,42,,6,6,,36,,,,,,,,,,,,0.8571,,,
FB-TVM,Madagasikara,2020-5-18,,,,,134,134,,18,18,,116,,,322,322,,5,119,,,0,1,0.8657,0.3696,,
FB-TVM,Antananarivo,2020-5-18,,,,,,,,0,0,,0,,,,,,,,,,,,,,,
FB-TVM,Mahajanga,2020-5-18,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-18,,,,,,,,17,17,,-17,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-19,,,,,61,61,,4,4,,57,,,326,326,,0,119,,,1,2,0.9344,0.365,,
FB-TVM,Antananarivo,2020-5-19,,,,,27,27,,2,2,,25,,,,,,,,,,,,0.9259,,,
FB-TVM,Toamasina,2020-5-19,,,,,34,34,,2,2,,32,,,,,,,,,,,,0.9412,,,
FB-TVM,Madagasikara,2020-5-20,,,,,410,410,,45,45,,365,,,371,371,,12,131,,,0,2,0.8902,0.3531,,
FB-TVM,Antananarivo,2020-5-20,,,,,,,,3,3,,-3,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-20,,,,,,,,42,42,,-42,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-21,,,,,312,312,,34,34,,278,,,405,405,,0,131,,,0,2,0.891,0.3235,,
FB-TVM,Antananarivo,2020-5-21,,,,,,,,0,0,,0,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-21,,,,,,,,27,27,,-27,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-22,,,,,312,312,,43,43,,269,,,448,448,,4,135,,,0,2,0.8622,0.3013,,
FB-TVM,Antananarivo,2020-5-22,,,,,,,,5,5,,-5,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-22,,,,,,,,38,38,,-38,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-23,,,,,296,296,,40,40,,256,,,488,488,,3,138,,,0,2,0.8649,0.2828,,
FB-TVM,Antananarivo,2020-5-23,,,,,,,,0,0,,0,,,,,,0,,,,,,,,,
FB-TVM,Toamasina,2020-5-23,,,,,,,,40,40,,-40,,,,,,3,,,,,,,,,
FB-TVM,Madagasikara,2020-5-24,,,,,459,459,,39,39,,420,,,527,527,,4,142,,,0,2,0.915,0.2694,,
FB-TVM,Antananarivo,2020-5-24,,,,,,,,10,10,,-10,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-24,,,,,,,,20,20,,-20,,,,,,,,,,,,,,,
FB-TVM,Taolagnaro,2020-5-24,,,,,,,,6,6,,-6,,,,,,,,,,,,,,,
FB-TVM,Toliara,2020-5-24,,,,,,,,3,3,,-3,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-25,,,,9114,201,201,,15,15,,186,,,542,542,,5,147,,,0,2,0.9254,0.2712,,
FB-TVM,Antananarivo,2020-5-25,,,,,,,,2,2,,-2,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-25,,,,,,,,11,11,,-11,,,,,,,,,,,,,,,
FB-TVM,Bongolava,2020-5-25,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Moramanga,2020-5-25,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Fianarantsoa,2020-5-25,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-26,,,,9340,341,341,,44,44,,297,,,586,586,,0,147,,,0,2,0.871,0.2509,,
FB-TVM,Antananarivo,2020-5-26,,,,,,,,10,10,,-10,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-26,,,,,,,,20,20,,-20,,,,,,,,,,,,,,,
FB-TVM,Moramanga,2020-5-26,,,,,,,,7,7,,-7,,,,,,,,,,,,,,,
FB-TVM,Andilamena,2020-5-26,,,,,,,,3,3,,-3,,,,,,,,,,,,,,,
FB-TVM,Ambatondrazaka,2020-5-26,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-27,,,,9681,250,250,,26,26,,224,,,612,612,,4,151,,,0,2,0.896,0.2467,,
FB-TVM,Antananarivo,2020-5-27,,,,,,,,9,9,,-9,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-27,,,,,,,,17,17,,-17,,,,,,,,,,,,,,,
FB-TVM,Fianarantsoa,2020-5-27,,,,,,,,,,,0,,,,,,1,,,,,,,,,
FB-TVM,Madagasikara,2020-5-28,,,,9848,234,234,,44,44,,190,,,655,655,,3,154,,,0,2,0.812,0.2351,,
FB-TVM,Antananarivo,2020-5-28,,,,,,,,11,11,,-11,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-28,,,,,,,,29,29,,-29,,,,,,,,,,,,,,,
FB-TVM,Moramanga,2020-5-28,,,,,,,,4,4,,-4,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-29,,,,10249,272,272,,42,42,,230,,,698,698,,10,164,,,3,5,0.8456,0.235,,nan
FB-TVM,Antananarivo,2020-5-29,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-29,,,,,,,,39,39,,-39,,,,,,,,,,,,,,,
FB-TVM,Moramanga,2020-5-29,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-30,"2.15 (758, 60)",,,10752,330,330,,60,60,,270,,,758,758,,1,165,,,1,6,0.8182,0.2177,2.15,1.81-3.32
FB-TVM,Antananarivo,2020-5-30,,,,,,,,25,25,,-25,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-30,,,,,,,,27,27,,-27,,,,,,,,,,,,,,,
FB-TVM,Moramanga,2020-5-30,,,,,,,,3,3,,-3,,,,,,,,,,,,,,,
FB-TVM,Fenoarivo Atsinanana,2020-5-30,,,,,,,,5,5,,-5,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-5-31,"2.11 (771, 13)",,,11311,267,267,,32,32,,235,,,790,790,,3,168,,,0,6,0.8801,0.2127,2.11,1.7-3.22
FB-TVM,Antananarivo,2020-5-31,,,,,,,,10,10,,-10,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-5-31,,,,,,,,2,2,,-2,,,,,,,,,,,,,,,
FB-TVM,Moramanga,2020-5-31,,,,,,,,,,,0,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-6-01,"2.1 (826, 55)",,,,293,293,,36,36,,257,,,826,826,,6,174,,,0,6,0.8771,0.2107,2.1,1.67-2.57
FB-TVM,Antananarivo,2020-6-01,,,,,,,,5,5,,-5,,,,,,1,,,,,,,,,
FB-TVM,Toamasina,2020-6-01,,,,,,,,22,22,,-22,,,,,,5,,,,,,,,,
FB-TVM,Moramanga,2020-6-01,,,,,,,,7,7,,-7,,,,,,,,,,,,,,,
FB-TVM,Ambatovy,2020-6-01,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Matsiatra,2020-6-01,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-6-02,"2.05 (845, 19)",,,11954,253,253,,19,19,,234,,,845,845,,11,185,,,0,6,0.9249,0.2189,,
FB-TVM,Antananarivo,2020-6-02,,,,,,,,2,2,,-2,,,,,,1,,,,,,,,,
FB-TVM,Toamasina,2020-6-02,,,,,,,,5,5,,-5,,,,,,10,,,,,,,,,
FB-TVM,Moramanga,2020-6-02,,,,,,,,2,2,,-2,,,,,,,,,,,,,,,
FB-TVM,Fenoarivo Atsinanana,2020-6-02,,,,,,,,5,5,,-5,,,,,,,,,,,,,,,
FB-TVM,Amparaparavola,2020-6-02,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Andilamena,2020-6-02,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-6-03,"2.02 (908, 63)",,,12192,289,289,,63,63,,226,,,908,908,,10,195,,,0,6,0.782,0.2148,2.02,1.65-2.55
FB-TVM,Antananarivo,2020-6-03,,,,,,,,21,21,,-21,,,,,,9,,,,,,,,,
FB-TVM,Ampanefy,2020-6-03,,,,,,,,1,1,,-1,,,,,,1,,,,,,,,,
FB-TVM,Manjakandriana,2020-6-03,,,,,,,,2,2,,-2,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-6-03,,,,,,,,33,33,,-33,,,,,,,,,,,,,,,
FB-TVM,Moramanga,2020-6-03,,,,,,,,5,5,,-5,,,,,,,,,,,,,,,
FB-TVM,Analanjirofo,2020-6-03,,,,,,,,2,2,,-2,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-6-04,,,,12608,221,221,,49,49,,172,,,957,957,,5,200,,,1,7,0.7783,0.209,,
FB-TVM,Antananarivo,2020-6-04,,,,,,,,4,4,,-4,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-6-04,,,,,,,,28,28,,-28,,,,,,,,,,,,,,,
FB-TVM,Manjakandriana,2020-6-04,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-6-05,"2.01 (975, 18)",,,12907,338,338,,18,18,,320,,,975,975,,1,201,,,0,7,0.9467,0.2062,2.01,1.66-2.65
FB-TVM,Antananarivo,2020-6-05,,,,,,,,5,5,,-5,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-6-05,,,,,,,,7,7,,-7,,,,,,,,,,,,,,,
FB-TVM,Taolagnaro,2020-6-05,,,,,,,,3,3,,-3,,,,,,,,,,,,,,,
FB-TVM,Toliara,2020-6-05,,,,,,,,3,3,,-3,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-6-06,,,,13230,345,345,,51,51,,294,,,1026,1026,,11,212,,,1,8,0.8522,0.2066,,
FB-TVM,Antananarivo,2020-6-06,,,,,,,,28,28,,-28,,,,,,8,,,,,,,,,
FB-TVM,Toamasina,2020-6-06,,,,,,,,22,22,,-22,,,,,,,,,,,,,,,
FB-TVM,Matsiatra,2020-6-06,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Taolagnaro,2020-6-06,,,,,,,,,,,0,,,,,,3,,,,,,,,,
FB-TVM,Madagasikara,2020-6-07,,,,13608,298,298,,26,26,,272,,,1052,1052,,21,233,,,1,9,0.9128,0.2215,,
FB-TVM,Antananarivo,2020-6-07,,,,,,,,15,15,,-15,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-6-07,,,,,,,,11,11,,-11,,,,,,,,,,,,,,,
FB-TVM,Ambohidratrimo,2020-6-07,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Ambohimanga,2020-6-07,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Miarinarivo,2020-6-07,,,,,,,,1,1,,-1,,,,,,,,,,,,,,,
FB-TVM,Arivonimamo,2020-6-07,,,,,,,,2,2,,-2,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-6-08,"1.92 (1094, 42)",,,13707,250,250,,42,42,,208,,,1094,1094,,21,254,,,0,9,0.832,0.2322,1.92,1.64-2.58
FB-TVM,Antananarivo,2020-6-08,,,,,,,,35,,,-35,,,,,,2,,,,,,,,,
FB-TVM,Toamasina,2020-6-08,,,,,,,,7,,,-7,,,,,,,,,,,,,,,
FB-TVM,Taolagnaro,2020-6-08,,,,,,,,,,,0,,,,,,19,,,,,,,,,
FB-TVM,Madagasikara,2020-6-09,,,,14106,339,339,,43,43,,296,,,1127,1127,,20,274,,,0,9,0.8732,0.2431,,
FB-TVM,Antananarivo,2020-6-09,,,,,,,,4,4,,-4,,,,,,2,,,,,,,,,
FB-TVM,Toamasina,2020-6-09,,,,,,,,39,39,,-39,,,,,,18,,,,,,,,,
FB-TVM,Madagasikara,2020-6-10,,,,14525,241,241,,24,24,,217,,,1162,1162,,22,296,,,1,1,0.9004,0.2547,,
FB-TVM,Antananarivo,2020-6-10,,,,,,,,6,,,-6,,,,,,16,,,,,,,,,
FB-TVM,Toamasina,2020-6-10,,,,,132,132,,18,18,,114,,,,,,6,,,,,,0.8636,,,
FB-TVM,Madagasikara,2020-6-11,,,,14857,363,363,,41,41,,322,,,1203,1203,,16,312,,,0,10,0.8871,0.2594,,
FB-TVM,Antananarivo,2020-6-11,,,,,,,,12,12,,,,,,,,5,,,,,,,,,
FB-TVM,Toamasina,2020-6-11,,,,,,,,22,22,,,,,,,,11,,,,,,,,,
FB-TVM,Analanjirofo,2020-6-11,,,,,,,,7,7,,,,,,,,,,,,,,,,,
FB-TVM,Moramanga,2020-6-11,,,,,,,,1,1,,,,,,,,,,,,,,,,,
FB-TVM,Fenoarivo Atsinanana,2020-6-11,,,,,,,,5,5,,,,,,,,,,,,,,,,,
FB-TVM,Soanierana Ivongo,2020-6-11,,,,,,,,1,1,,,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-6-12,,,,15148,341,341,,27,27,,314,,,1230,1230,,32,344,,,0,10,0.9208,0.2797,,
FB-TVM,Antananarivo,2020-6-12,,,,,,,,17,17,,,,,,,,21,,,,,,,,,
FB-TVM,Arivonimamo,2020-6-12,,,,,,,,1,1,,,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-6-12,,,,,,,,9,,,,,,,,,11,,,,,,,,,
FB-TVM,Madagasikara,2020-6-13,"1.13 (1252, 22)",,,15497,220,220,,22,22,,198,,,1252,1252,,18,362,,,0,10,0.9,0.2891,1.13,0.77-1.55
FB-TVM,Antananarivo,2020-6-13,,,,,,,,12,12,,,,,,,,,,,,,,,,,
FB-TVM,Toamasina,2020-6-13,,,,,,,,10,10,,,,,,,,,,,,,,,,,
FB-TVM,Madagasikara,2020-6-14,"0.9 (1272, 20)",,,15756,225,225,,20,20,,205,,,1272,1272,,5,367,,,0,10,0.9111,0.2885,0.9,0.5-1.35
FB-TVM,Antananarivo,2020-6-14,,,,,,,,6,6,,,,,,,,0,,,,,,,,,
FB-TVM,Toamasina,2020-6-14,,,,,60,,,5,5,,55,,,,,,5,,,,,,0.9167,,,
FB-TVM,Moramanga,2020-6-14,,,,,,,,7,7,,-7,,,,,,0,,,,,,,,,
FB-TVM,Fianarantsoa,2020-6-14,,,,,,,,1,1,,-1,,,,,,0,,,,,,,,,
FB-TVM,Toliara,2020-6-14,,,,,,,,1,1,,-1,,,,,,0,,,,,,,,,
FB-TVM,Madagasikara,2020-6-15,"1.07 (1290, 18)",,,15981,131,131,,18,18,,113,,,1290,1290,,17,384,,,0,10,0.8626,0.2977,1.07,0.73-1.48
FB-TVM,Antananarivo,2020-6-15,,,,,,,,7,7,,-7,,,,,,6,,,,,,,,,
FB-TVM,Toamasina,2020-6-15,,,,,,,,6,6,,-6,,,,,,11,,,,,,,,,
FB-TVM,Analanjirofo,2020-6-15,,,,,,,,4,4,,-4,,,,,,0,,,,,,,,,
FB-TVM,Ihorombe,2020-6-15,,,,,,,,1,1,,-1,,,,,,0,,,,,,,,,
FB-TVM,Madagasikara,2020-6-16,"1.33 (1317, 27)",,,16093,234,234,,27,27,,207,,,1317,1317,,33,417,,,2,12,0.8846,0.3166,1.33,0.93-1.72
FB-TVM,Antananarivo,2020-6-16,,,,,,,,21,21,,-21,,,,,,2,,,,,,,,,
FB-TVM,Toamasina,2020-6-16,,,,,,,,3,3,,-3,,,,,,31,,,,,,,,,
FB-TVM,Mahajanga,2020-6-16,,,,,,,,3,3,,-3,,,,,,0,,,,,,,,,
FB-TVM,Madagasikara,2020-6-17,,,,16402,289,289,,61,61,,228,,,1378,1378,,33,450,,,0,12,0.7889,0.3266,,
FB-TVM,Antananarivo,2020-6-17,,,,,,,,40,,,,,,,,,26,,,,,,,,,
FB-TVM,Toamasina,2020-6-17,,,,,,,,2,2,,,,,,,,7,,,,,,,,,
FB-TVM,Antsirabe,2020-6-17,,,,,,,,3,3,,,,,,,,,,,,,,,,,
FB-TVM,Ste Marie,2020-6-17,,,,,,,,2,2,,,,,,,,,,,,,,,,,
FB-TVM,Moramanga,2020-6-17,,,,,,,,1,1,,,,,,,,,,,,,,,,,
FB-TVM,Tsiroanomandidy,2020-6-17,,,,,,,,1,1,,,,,,,,,,,,,,,,,
